feature_id	target	support_state	evidence_ids	note
package-manager.npm	darwin-arm64	supported	ev.package-manager.npm.hermetic-install.v1	Hermetic install, offline reinstall, dep-spec breadth (file:/npm:/optional), and lock identity pass through the shipped binary.
package-manager.npm	darwin-x64	supported	ev.package-manager.npm.hermetic-install.v1	Hermetic install, offline reinstall, dep-spec breadth (file:/npm:/optional), and lock identity pass through the shipped binary.
package-manager.npm	linux-arm64	supported	ev.package-manager.npm.hermetic-install.v1	Hermetic install, offline reinstall, dep-spec breadth (file:/npm:/optional), and lock identity pass through the shipped binary.
package-manager.npm	linux-x64	supported	ev.package-manager.npm.hermetic-install.v1	Hermetic install, offline reinstall, dep-spec breadth (file:/npm:/optional), and lock identity pass through the shipped binary.
runtime.loader-plugins	darwin-arm64	supported	ev.runtime.loader-plugins.core-suite.v1,ev.runtime.loader-plugins.public.v1	Pure-CL Bun.plugin host; Clun.plugin onResolve/onLoad/module/clearAll plus exceed hooks.
runtime.loader-plugins	darwin-x64	supported	ev.runtime.loader-plugins.core-suite.v1,ev.runtime.loader-plugins.public.v1	Pure-CL Bun.plugin host; Clun.plugin onResolve/onLoad/module/clearAll plus exceed hooks.
runtime.loader-plugins	linux-arm64	supported	ev.runtime.loader-plugins.core-suite.v1,ev.runtime.loader-plugins.public.v1	Pure-CL Bun.plugin host; Clun.plugin onResolve/onLoad/module/clearAll plus exceed hooks.
runtime.loader-plugins	linux-x64	supported	ev.runtime.loader-plugins.core-suite.v1,ev.runtime.loader-plugins.public.v1	Pure-CL Bun.plugin host; Clun.plugin onResolve/onLoad/module/clearAll plus exceed hooks.
runtime.native-addons	darwin-arm64	supported	ev.runtime.native-addons.core-suite.v1,ev.runtime.native-addons.decision.v1,ev.runtime.native-addons.public.v1	Machine-code load/call via pure-CL host boundary plus pure-CL registry/memory/N-API hooks execute through the shipped binary.
runtime.native-addons	darwin-x64	supported	ev.runtime.native-addons.core-suite.v1,ev.runtime.native-addons.decision.v1,ev.runtime.native-addons.public.v1	Machine-code load/call via pure-CL host boundary plus pure-CL registry/memory/N-API hooks execute through the shipped binary.
runtime.native-addons	linux-arm64	supported	ev.runtime.native-addons.core-suite.v1,ev.runtime.native-addons.decision.v1,ev.runtime.native-addons.public.v1	Machine-code load/call via pure-CL host boundary plus pure-CL registry/memory/N-API hooks execute through the shipped binary.
runtime.native-addons	linux-x64	supported	ev.runtime.native-addons.core-suite.v1,ev.runtime.native-addons.decision.v1,ev.runtime.native-addons.public.v1	Machine-code load/call via pure-CL host boundary plus pure-CL registry/memory/N-API hooks execute through the shipped binary.
runtime.node-compatibility	darwin-arm64	supported	ev.runtime.node-compatibility.assertions.v1,ev.runtime.node-compatibility.bufedge.v1,ev.runtime.node-compatibility.buffer.v1,ev.runtime.node-compatibility.events.v1,ev.runtime.node-compatibility.fsedge.v1,ev.runtime.node-compatibility.fsops.v1,ev.runtime.node-compatibility.globals.v1,ev.runtime.node-compatibility.modules.v1,ev.runtime.node-compatibility.path-win32.v1,ev.runtime.node-compatibility.timers.v1,ev.runtime.node-compatibility.url.v1	The complete selected pure-CL Node surface executes through the shipped binary.
runtime.node-compatibility	darwin-x64	supported	ev.runtime.node-compatibility.assertions.v1,ev.runtime.node-compatibility.bufedge.v1,ev.runtime.node-compatibility.buffer.v1,ev.runtime.node-compatibility.events.v1,ev.runtime.node-compatibility.fsedge.v1,ev.runtime.node-compatibility.fsops.v1,ev.runtime.node-compatibility.globals.v1,ev.runtime.node-compatibility.modules.v1,ev.runtime.node-compatibility.path-win32.v1,ev.runtime.node-compatibility.timers.v1,ev.runtime.node-compatibility.url.v1	The complete selected pure-CL Node surface executes through the shipped binary.
runtime.node-compatibility	linux-arm64	supported	ev.runtime.node-compatibility.assertions.v1,ev.runtime.node-compatibility.bufedge.v1,ev.runtime.node-compatibility.buffer.v1,ev.runtime.node-compatibility.events.v1,ev.runtime.node-compatibility.fsedge.v1,ev.runtime.node-compatibility.fsops.v1,ev.runtime.node-compatibility.globals.v1,ev.runtime.node-compatibility.modules.v1,ev.runtime.node-compatibility.path-win32.v1,ev.runtime.node-compatibility.timers.v1,ev.runtime.node-compatibility.url.v1	The complete selected pure-CL Node surface executes through the shipped binary.
runtime.node-compatibility	linux-x64	supported	ev.runtime.node-compatibility.assertions.v1,ev.runtime.node-compatibility.bufedge.v1,ev.runtime.node-compatibility.buffer.v1,ev.runtime.node-compatibility.events.v1,ev.runtime.node-compatibility.fsedge.v1,ev.runtime.node-compatibility.fsops.v1,ev.runtime.node-compatibility.globals.v1,ev.runtime.node-compatibility.modules.v1,ev.runtime.node-compatibility.path-win32.v1,ev.runtime.node-compatibility.timers.v1,ev.runtime.node-compatibility.url.v1	The complete selected pure-CL Node surface executes through the shipped binary.
runtime.web-standard-apis	darwin-arm64	supported	ev.runtime.web-standard-apis.basic.v1,ev.runtime.web-standard-apis.fetch-suite.v1,ev.runtime.web-standard-apis.network-stress.v1,ev.runtime.web-standard-apis.platform-suite.v1,ev.runtime.web-standard-apis.proxy-suite.v1,ev.runtime.web-standard-apis.streams-stress.v1,ev.runtime.web-standard-apis.streams-suite.v1	The complete public Web Standard surface executes through the shipped binary.
runtime.web-standard-apis	darwin-x64	supported	ev.runtime.web-standard-apis.basic.v1,ev.runtime.web-standard-apis.fetch-suite.v1,ev.runtime.web-standard-apis.network-stress.v1,ev.runtime.web-standard-apis.platform-suite.v1,ev.runtime.web-standard-apis.proxy-suite.v1,ev.runtime.web-standard-apis.streams-stress.v1,ev.runtime.web-standard-apis.streams-suite.v1	The complete public Web Standard surface executes through the shipped binary.
runtime.web-standard-apis	linux-arm64	supported	ev.runtime.web-standard-apis.basic.v1,ev.runtime.web-standard-apis.fetch-suite.v1,ev.runtime.web-standard-apis.network-stress.v1,ev.runtime.web-standard-apis.platform-suite.v1,ev.runtime.web-standard-apis.proxy-suite.v1,ev.runtime.web-standard-apis.streams-stress.v1,ev.runtime.web-standard-apis.streams-suite.v1	The complete public Web Standard surface executes through the shipped binary.
runtime.web-standard-apis	linux-x64	supported	ev.runtime.web-standard-apis.basic.v1,ev.runtime.web-standard-apis.fetch-suite.v1,ev.runtime.web-standard-apis.network-stress.v1,ev.runtime.web-standard-apis.platform-suite.v1,ev.runtime.web-standard-apis.proxy-suite.v1,ev.runtime.web-standard-apis.streams-stress.v1,ev.runtime.web-standard-apis.streams-suite.v1	The complete public Web Standard surface executes through the shipped binary.
security.encrypted-secrets	darwin-arm64	supported	ev.security.encrypted-secrets.core-suite.v1,ev.security.encrypted-secrets.public.v1	Pure-CL AES-256-GCM vault get/set/delete/has/list/clear executes through the shipped binary (exceeds Bun.secrets).
security.encrypted-secrets	darwin-x64	supported	ev.security.encrypted-secrets.core-suite.v1,ev.security.encrypted-secrets.public.v1	Pure-CL AES-256-GCM vault get/set/delete/has/list/clear executes through the shipped binary (exceeds Bun.secrets).
security.encrypted-secrets	linux-arm64	supported	ev.security.encrypted-secrets.core-suite.v1,ev.security.encrypted-secrets.public.v1	Pure-CL AES-256-GCM vault get/set/delete/has/list/clear executes through the shipped binary (exceeds Bun.secrets).
security.encrypted-secrets	linux-x64	supported	ev.security.encrypted-secrets.core-suite.v1,ev.security.encrypted-secrets.public.v1	Pure-CL AES-256-GCM vault get/set/delete/has/list/clear executes through the shipped binary (exceeds Bun.secrets).
security.password-hashing	darwin-arm64	supported	ev.security.password-hashing.public.v1	The complete public surface executes through the shipped binary.
security.password-hashing	darwin-x64	supported	ev.security.password-hashing.public.v1	The complete public surface executes through the shipped binary.
security.password-hashing	linux-arm64	supported	ev.security.password-hashing.public.v1	The complete public surface executes through the shipped binary.
security.password-hashing	linux-x64	supported	ev.security.password-hashing.public.v1	The complete public surface executes through the shipped binary.
server.http	darwin-arm64	supported	ev.server.http.binary-e2e.v1	The complete public HTTP/1.1 server surface executes through the shipped binary.
server.http	darwin-x64	supported	ev.server.http.binary-e2e.v1	The complete public HTTP/1.1 server surface executes through the shipped binary.
server.http	linux-arm64	supported	ev.server.http.binary-e2e.v1	The complete public HTTP/1.1 server surface executes through the shipped binary.
server.http	linux-x64	supported	ev.server.http.binary-e2e.v1	The complete public HTTP/1.1 server surface executes through the shipped binary.
server.router	darwin-arm64	supported	ev.server.router.binary-e2e.v1,ev.server.router.inventory.v1	The complete public router surface executes through the shipped binary.
server.router	darwin-x64	supported	ev.server.router.binary-e2e.v1,ev.server.router.inventory.v1	The complete public router surface executes through the shipped binary.
server.router	linux-arm64	supported	ev.server.router.binary-e2e.v1,ev.server.router.inventory.v1	The complete public router surface executes through the shipped binary.
server.router	linux-x64	supported	ev.server.router.binary-e2e.v1,ev.server.router.inventory.v1	The complete public router surface executes through the shipped binary.
server.websocket	darwin-arm64	supported	ev.server.websocket.binary-e2e.v1,ev.server.websocket.client-suite.v1,ev.server.websocket.deflate-suite.v1,ev.server.websocket.echo-suite.v1,ev.server.websocket.frame-suite.v1,ev.server.websocket.pubsub-suite.v1,ev.server.websocket.surface.v1	Complete public WebSocket server/client/Pub/Sub surface executes through the shipped binary and pure-CL suites on all four targets.
server.websocket	darwin-x64	supported	ev.server.websocket.binary-e2e.v1,ev.server.websocket.client-suite.v1,ev.server.websocket.deflate-suite.v1,ev.server.websocket.echo-suite.v1,ev.server.websocket.frame-suite.v1,ev.server.websocket.pubsub-suite.v1,ev.server.websocket.surface.v1	Complete public WebSocket server/client/Pub/Sub surface executes through the shipped binary and pure-CL suites on all four targets.
server.websocket	linux-arm64	supported	ev.server.websocket.binary-e2e.v1,ev.server.websocket.client-suite.v1,ev.server.websocket.deflate-suite.v1,ev.server.websocket.echo-suite.v1,ev.server.websocket.frame-suite.v1,ev.server.websocket.pubsub-suite.v1,ev.server.websocket.surface.v1	Complete public WebSocket server/client/Pub/Sub surface executes through the shipped binary and pure-CL suites on all four targets.
server.websocket	linux-x64	supported	ev.server.websocket.binary-e2e.v1,ev.server.websocket.client-suite.v1,ev.server.websocket.deflate-suite.v1,ev.server.websocket.echo-suite.v1,ev.server.websocket.frame-suite.v1,ev.server.websocket.pubsub-suite.v1,ev.server.websocket.surface.v1	Complete public WebSocket server/client/Pub/Sub surface executes through the shipped binary and pure-CL suites on all four targets.
text.string-width	darwin-arm64	supported	ev.text.string-width.corpus.v1,ev.text.string-width.public.v1,ev.text.string-width.stress.v1	The complete public surface executes through the shipped binary.
text.string-width	darwin-x64	supported	ev.text.string-width.corpus.v1,ev.text.string-width.public.v1,ev.text.string-width.stress.v1	The complete public surface executes through the shipped binary.
text.string-width	linux-arm64	supported	ev.text.string-width.corpus.v1,ev.text.string-width.public.v1,ev.text.string-width.stress.v1	The complete public surface executes through the shipped binary.
text.string-width	linux-x64	supported	ev.text.string-width.corpus.v1,ev.text.string-width.public.v1,ev.text.string-width.stress.v1	The complete public surface executes through the shipped binary.
tooling.bundler	darwin-arm64	supported	ev.tooling.bundler.core-suite.v1,ev.tooling.bundler.decision.v1,ev.tooling.bundler.public.v1	Pure-CL Clun.build production bundler with entry/split/minify/loaders/assets and four-target receipts.
tooling.bundler	darwin-x64	supported	ev.tooling.bundler.core-suite.v1,ev.tooling.bundler.decision.v1,ev.tooling.bundler.public.v1	Pure-CL Clun.build production bundler with entry/split/minify/loaders/assets and four-target receipts.
tooling.bundler	linux-arm64	supported	ev.tooling.bundler.core-suite.v1,ev.tooling.bundler.decision.v1,ev.tooling.bundler.public.v1	Pure-CL Clun.build production bundler with entry/split/minify/loaders/assets and four-target receipts.
tooling.bundler	linux-x64	supported	ev.tooling.bundler.core-suite.v1,ev.tooling.bundler.decision.v1,ev.tooling.bundler.public.v1	Pure-CL Clun.build production bundler with entry/split/minify/loaders/assets and four-target receipts.
tooling.formatter-linter	darwin-arm64	supported	ev.tooling.formatter-linter.core-suite.v1,ev.tooling.formatter-linter.decision.v1,ev.tooling.formatter-linter.public.v1	Pure-CL clun fmt + clun lint with recommended ruleset and four-target receipts.
tooling.formatter-linter	darwin-x64	supported	ev.tooling.formatter-linter.core-suite.v1,ev.tooling.formatter-linter.decision.v1,ev.tooling.formatter-linter.public.v1	Pure-CL clun fmt + clun lint with recommended ruleset and four-target receipts.
tooling.formatter-linter	linux-arm64	supported	ev.tooling.formatter-linter.core-suite.v1,ev.tooling.formatter-linter.decision.v1,ev.tooling.formatter-linter.public.v1	Pure-CL clun fmt + clun lint with recommended ruleset and four-target receipts.
tooling.formatter-linter	linux-x64	supported	ev.tooling.formatter-linter.core-suite.v1,ev.tooling.formatter-linter.decision.v1,ev.tooling.formatter-linter.public.v1	Pure-CL clun fmt + clun lint with recommended ruleset and four-target receipts.
tooling.frontend-dev-server	darwin-arm64	supported	ev.tooling.frontend-dev-server.core-suite.v1,ev.tooling.frontend-dev-server.e2e.v1	HTML entry routes, on-demand transforms, HMR client, development mode, and Clun.devServer pass through pure-CL implementation and shipped binary
tooling.frontend-dev-server	darwin-x64	supported	ev.tooling.frontend-dev-server.core-suite.v1,ev.tooling.frontend-dev-server.e2e.v1	HTML entry routes, on-demand transforms, HMR client, development mode, and Clun.devServer pass through pure-CL implementation and shipped binary
tooling.frontend-dev-server	linux-arm64	supported	ev.tooling.frontend-dev-server.core-suite.v1,ev.tooling.frontend-dev-server.e2e.v1	HTML entry routes, on-demand transforms, HMR client, development mode, and Clun.devServer pass through pure-CL implementation and shipped binary
tooling.frontend-dev-server	linux-x64	supported	ev.tooling.frontend-dev-server.core-suite.v1,ev.tooling.frontend-dev-server.e2e.v1	HTML entry routes, on-demand transforms, HMR client, development mode, and Clun.devServer pass through pure-CL implementation and shipped binary
tooling.hot-reload	darwin-arm64	supported	ev.tooling.hot-reload.core-suite.v1,ev.tooling.hot-reload.e2e.v1	State-preserving --hot soft reload, connection retention, import.meta.hot, and --watch hard restart pass through pure-CL implementation and shipped binary.
tooling.hot-reload	darwin-x64	supported	ev.tooling.hot-reload.core-suite.v1,ev.tooling.hot-reload.e2e.v1	State-preserving --hot soft reload, connection retention, import.meta.hot, and --watch hard restart pass through pure-CL implementation and shipped binary.
tooling.hot-reload	linux-arm64	supported	ev.tooling.hot-reload.core-suite.v1,ev.tooling.hot-reload.e2e.v1	State-preserving --hot soft reload, connection retention, import.meta.hot, and --watch hard restart pass through pure-CL implementation and shipped binary.
tooling.hot-reload	linux-x64	supported	ev.tooling.hot-reload.core-suite.v1,ev.tooling.hot-reload.e2e.v1	State-preserving --hot soft reload, connection retention, import.meta.hot, and --watch hard restart pass through pure-CL implementation and shipped binary.
tooling.shell	darwin-arm64	supported	ev.tooling.shell.builtins.v1,ev.tooling.shell.core.v1,ev.tooling.shell.tagged-template.v1,ev.tooling.shell.upstream-assignments.v1,ev.tooling.shell.upstream-conditions.v1,ev.tooling.shell.upstream-control-flow.v1,ev.tooling.shell.upstream-cp.v1,ev.tooling.shell.upstream-deno-task.v1,ev.tooling.shell.upstream-echo.v1,ev.tooling.shell.upstream-exec.v1,ev.tooling.shell.upstream-file-io.v1,ev.tooling.shell.upstream-groups.v1,ev.tooling.shell.upstream-language.v1,ev.tooling.shell.upstream-lex-parse.v1,ev.tooling.shell.upstream-lifecycle.v1,ev.tooling.shell.upstream-low-hanging.v1,ev.tooling.shell.upstream-ls.v1,ev.tooling.shell.upstream-mv-rm.v1,ev.tooling.shell.upstream-pipeline-stack.v1,ev.tooling.shell.upstream-positionals.v1,ev.tooling.shell.upstream-public-api.v1,ev.tooling.shell.upstream-residual.v1,ev.tooling.shell.upstream-seq.v1	The complete pinned shell corpus and public surface execute through the shipped binary.
tooling.shell	darwin-x64	supported	ev.tooling.shell.builtins.v1,ev.tooling.shell.core.v1,ev.tooling.shell.tagged-template.v1,ev.tooling.shell.upstream-assignments.v1,ev.tooling.shell.upstream-conditions.v1,ev.tooling.shell.upstream-control-flow.v1,ev.tooling.shell.upstream-cp.v1,ev.tooling.shell.upstream-deno-task.v1,ev.tooling.shell.upstream-echo.v1,ev.tooling.shell.upstream-exec.v1,ev.tooling.shell.upstream-file-io.v1,ev.tooling.shell.upstream-groups.v1,ev.tooling.shell.upstream-language.v1,ev.tooling.shell.upstream-lex-parse.v1,ev.tooling.shell.upstream-lifecycle.v1,ev.tooling.shell.upstream-low-hanging.v1,ev.tooling.shell.upstream-ls.v1,ev.tooling.shell.upstream-mv-rm.v1,ev.tooling.shell.upstream-pipeline-stack.v1,ev.tooling.shell.upstream-positionals.v1,ev.tooling.shell.upstream-public-api.v1,ev.tooling.shell.upstream-residual.v1,ev.tooling.shell.upstream-seq.v1	The complete pinned shell corpus and public surface execute through the shipped binary.
tooling.shell	linux-arm64	supported	ev.tooling.shell.builtins.v1,ev.tooling.shell.core.v1,ev.tooling.shell.tagged-template.v1,ev.tooling.shell.upstream-assignments.v1,ev.tooling.shell.upstream-conditions.v1,ev.tooling.shell.upstream-control-flow.v1,ev.tooling.shell.upstream-cp.v1,ev.tooling.shell.upstream-deno-task.v1,ev.tooling.shell.upstream-echo.v1,ev.tooling.shell.upstream-exec.v1,ev.tooling.shell.upstream-file-io.v1,ev.tooling.shell.upstream-groups.v1,ev.tooling.shell.upstream-language.v1,ev.tooling.shell.upstream-lex-parse.v1,ev.tooling.shell.upstream-lifecycle.v1,ev.tooling.shell.upstream-low-hanging.v1,ev.tooling.shell.upstream-ls.v1,ev.tooling.shell.upstream-mv-rm.v1,ev.tooling.shell.upstream-pipeline-stack.v1,ev.tooling.shell.upstream-positionals.v1,ev.tooling.shell.upstream-public-api.v1,ev.tooling.shell.upstream-residual.v1,ev.tooling.shell.upstream-seq.v1	The complete pinned shell corpus and public surface execute through the shipped binary.
tooling.shell	linux-x64	supported	ev.tooling.shell.builtins.v1,ev.tooling.shell.core.v1,ev.tooling.shell.tagged-template.v1,ev.tooling.shell.upstream-assignments.v1,ev.tooling.shell.upstream-conditions.v1,ev.tooling.shell.upstream-control-flow.v1,ev.tooling.shell.upstream-cp.v1,ev.tooling.shell.upstream-deno-task.v1,ev.tooling.shell.upstream-echo.v1,ev.tooling.shell.upstream-exec.v1,ev.tooling.shell.upstream-file-io.v1,ev.tooling.shell.upstream-groups.v1,ev.tooling.shell.upstream-language.v1,ev.tooling.shell.upstream-lex-parse.v1,ev.tooling.shell.upstream-lifecycle.v1,ev.tooling.shell.upstream-low-hanging.v1,ev.tooling.shell.upstream-ls.v1,ev.tooling.shell.upstream-mv-rm.v1,ev.tooling.shell.upstream-pipeline-stack.v1,ev.tooling.shell.upstream-positionals.v1,ev.tooling.shell.upstream-public-api.v1,ev.tooling.shell.upstream-residual.v1,ev.tooling.shell.upstream-seq.v1	The complete pinned shell corpus and public surface execute through the shipped binary.
tooling.single-file-executables	darwin-arm64	supported	ev.tooling.single-file-executables.compile-run.v1,ev.tooling.single-file-executables.core-suite.v1,ev.tooling.single-file-executables.public.v1	Pure-CL compile/cross-compile/embed/sign SEA; native execute without installed Clun
tooling.single-file-executables	darwin-x64	supported	ev.tooling.single-file-executables.compile-run.v1,ev.tooling.single-file-executables.core-suite.v1,ev.tooling.single-file-executables.public.v1	Pure-CL compile/cross-compile/embed/sign SEA; native execute without installed Clun
tooling.single-file-executables	linux-arm64	supported	ev.tooling.single-file-executables.compile-run.v1,ev.tooling.single-file-executables.core-suite.v1,ev.tooling.single-file-executables.public.v1	Pure-CL compile/cross-compile/embed/sign SEA; native execute without installed Clun
tooling.single-file-executables	linux-x64	supported	ev.tooling.single-file-executables.compile-run.v1,ev.tooling.single-file-executables.core-suite.v1,ev.tooling.single-file-executables.public.v1	Pure-CL compile/cross-compile/embed/sign SEA; native execute without installed Clun
